Spatial ID,Output DER Types,All Sectors,Act vs Sim,Output Periods,Incremental Count (Calibration),Cumulative Count (Calibration),Incremental MW-AC (Calibration),Cumulative MW-AC (Calibration)
91911,Solar PV,Residential,Actual,31-Mar-2012,1,119,0.0028,0.292592
91913,Solar PV,Residential,Actual,31-Mar-2012,9,152,0.0158,0.367
91914,Solar PV,Residential,Actual,31-Mar-2012,8,55,0.0412,0.2488
91915,Solar PV,Residential,Actual,31-Mar-2012,2,37,0.0083,0.141638
91916,Solar PV,Residential,Actual,31-Mar-2012,0,17,0,0.104215
91917,Solar PV,Residential,Actual,31-Mar-2012,0,7,0,0.047832
91931,Solar PV,Residential,Actual,31-Mar-2012,0,1,0,0.006
91932,Solar PV,Residential,Actual,31-Mar-2012,1,72,0.0032,0.221211
91934,Solar PV,Residential,Actual,31-Mar-2012,0,1,0,0.005
91935,Solar PV,Residential,Actual,31-Mar-2012,4,144,0.0291,0.92231
91941,Solar PV,Residential,Actual,31-Mar-2012,4,239,0.0291,1.090606
91942,Solar PV,Residential,Actual,31-Mar-2012,2,84,0.0042,0.268853
91945,Solar PV,Residential,Actual,31-Mar-2012,1,54,0.0109,0.183426
91948,Solar PV,Residential,Actual,31-Mar-2012,0,1,0,0.0012
91950,Solar PV,Residential,Actual,31-Mar-2012,1,23,0.0017,0.0651
91962,Solar PV,Residential,Actual,31-Mar-2012,0,7,0,0.0251
91963,Solar PV,Residential,Actual,31-Mar-2012,0,4,0,0.0177
91977,Solar PV,Residential,Actual,31-Mar-2012,7,150,0.0264,0.556902
91978,Solar PV,Residential,Actual,31-Mar-2012,1,36,0.004,0.13147
91980,Solar PV,Residential,Actual,31-Mar-2012,0,0
92003,Solar PV,Residential,Actual,31-Mar-2012,2,43,0.01,0.331667
92004,Solar PV,Residential,Actual,31-Mar-2012,1,69,0.0099,0.309259
92007,Solar PV,Residential,Actual,31-Mar-2012,1,67,0.002,0.247334
92008,Solar PV,Residential,Actual,31-Mar-2012,4,107,0.0137,0.4122
92009,Solar PV,Residential,Actual,31-Mar-2012,3,228,0.0144,1.056889
92010,Solar PV,Residential,Actual,31-Mar-2012,0,45,0,0.156526
92011,Solar PV,Residential,Actual,31-Mar-2012,1,93,0.0065,0.385271
92014,Solar PV,Residential,Actual,31-Mar-2012,4,129,0.0165,0.627534
92019,Solar PV,Residential,Actual,31-Mar-2012,2,222,0.0094,1.160274
92020,Solar PV,Residential,Actual,31-Mar-2012,4,193,0.0156,0.946705
92021,Solar PV,Residential,Actual,31-Mar-2012,6,267,0.0276,1.394021
92024,Solar PV,Residential,Actual,31-Mar-2012,7,329,0.0439,1.497948
92025,Solar PV,Residential,Actual,31-Mar-2012,4,183,0.0196,1.022131
92026,Solar PV,Residential,Actual,31-Mar-2012,7,201,0.0437,0.995003
92027,Solar PV,Residential,Actual,31-Mar-2012,2,174,0.008,0.795714
92028,Solar PV,Residential,Actual,31-Mar-2012,18,438,0.0987,2.222333
92029,Solar PV,Residential,Actual,31-Mar-2012,6,204,0.0339,1.036312
92036,Solar PV,Residential,Actual,31-Mar-2012,0,60,0,0.220761
92037,Solar PV,Residential,Actual,31-Mar-2012,7,244,0.0448,1.158409
92040,Solar PV,Residential,Actual,31-Mar-2012,2,255,0.0092,1.149435
92054,Solar PV,Residential,Actual,31-Mar-2012,1,67,0.0013,0.24079
92055,Solar PV,Residential,Actual,31-Mar-2012,0,0
92056,Solar PV,Residential,Actual,31-Mar-2012,1,110,0.0018,0.3458
92057,Solar PV,Residential,Actual,31-Mar-2012,3,152,0.0084,0.526094
92058,Solar PV,Residential,Actual,31-Mar-2012,1,28,0.0026,0.0777
92059,Solar PV,Residential,Actual,31-Mar-2012,1,15,0.005,0.0716
92060,Solar PV,Residential,Actual,31-Mar-2012,0,1,0,0.0018
92061,Solar PV,Residential,Actual,31-Mar-2012,1,14,0.0047,0.0639
92064,Solar PV,Residential,Actual,31-Mar-2012,13,640,0.1071,3.754717
